"company_name","company_name_clean","year","country","country_code","country_code_lower","flag_url"
"METROCHEM API PRIVATE LTD","METROCHEM API PRIVATE LTD",2024,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"METROCHEM API PRIVATE LTD","METROCHEM API PRIVATE LTD",2025,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"METROCHEM API PRIVATE LTD","METROCHEM API PRIVATE LTD",2026,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"MICROPURE CORP","MICROPURE CORP",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"MIE PREFECTURE ENVIRONMENTAL CONSERVATION AGENCY","MIE PREFECTURE ENVIRONMENTAL CONSERVATION AGENCY",2026,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"MIG INC","MIG INC",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"MILTENYI BIOTEC JAPAN","MILTENYI BIOTEC JAPAN",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"MINAKEM","MINAKEM",2024,"FRANCE","FR","fr","https://flagcdn.com/w40/fr.png"
"MINAKEM SAS","MINAKEM SAS",2025,"FRANCE","FR","fr","https://flagcdn.com/w40/fr.png"
"MINGCHEM PHARMACEUTICAL","MINGCHEM PHARMACEUTICAL",2024,"CHINA","CN","cn","https://flagcdn.com/w40/cn.png"
"MITSUI FUDOSAN CO LTD","MITSUI FUDOSAN CO LTD",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"MIX INC","MIX INC",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"MOMENTUM BIO CORP","MOMENTUM BIO CORP",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"MORIROKU CHEMICALS CO LTD","MORIROKU CHEMICALS CO LTD",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"MSN LABORATORIES","MSN LABORATORIES",2024,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"MSN LABORATORIES","MSN LABORATORIES",2025,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"MT TRADING CO LTD","MT TRADING CO LTD",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"MUROMACHI CHEMICALS INC","MUROMACHI CHEMICALS INC",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"MUROMACHI CHEMICALS INC","MUROMACHI CHEMICALS INC",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"MUROMACHI CHEMICALS INC","MUROMACHI CHEMICALS INC",2026,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"MUTUAL CORP","MUTUAL CORP",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"MUTUAL CORP","MUTUAL CORP",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"MYLAN LABORATORIES LTD","MYLAN LABORATORIES LTD",2024,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"MÉDECINS DU MONDE JAPAN","MÉDECINS DU MONDE JAPAN",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"NAGASE & CO LTD","NAGASE & CO LTD",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"NAGASE & CO LTD","NAGASE & CO LTD",2026,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"NAKAMURA SCIENTIFIC INSTRUMENT CO LTD","NAKAMURA SCIENTIFIC INSTRUMENT CO LTD",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"NAKAMURA SCIENTIFIC INSTRUMENT CO LTD","NAKAMURA SCIENTIFIC INSTRUMENT CO LTD",2026,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"NAKAMURA TRADING (HONGKONG) CO LTD","NAKAMURA TRADING (HONGKONG) CO LTD",2026,"HONG KONG","HK","hk","https://flagcdn.com/w40/hk.png"
"NAMIKI SHOJI CO LTD","NAMIKI SHOJI CO LTD",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"NAMIKI SHOJI CO LTD","NAMIKI SHOJI CO LTD",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"NAMIKI SHOJI CO LTD","NAMIKI SHOJI CO LTD",2026,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"NANJING DORRA PHARMACEUTICAL TECHNOLOGY CO LTD","NANJING DORRA PHARMACEUTICAL TECHNOLOGY CO LTD",2024,"CHINA","CN","cn","https://flagcdn.com/w40/cn.png"
