rank,country,region
1,Japan,Domestic
2,China,Asia
3,South Korea,Asia
4,India,Asia
5,Taiwan (Region of China),Asia
6,USA,Americas
7,Philippines,Asia
8,Singapore,Asia
9,Italy,Europe
10,Germany,Europe
11,Vietnam,Asia
12,Thailand,Asia
13,Hong Kong (Region of China),Asia
14,Mongolia,Asia
15,Spain,Europe
