company_name,show_name,booth_no
Jiangsu SimPros Pharmaceuticals Ltd.,Ingredients,1C-03
"JiangSu WanZhen Pharmaceutical Technology co.,ltd.",Ingredients,3C-24
JIANGSU ZENJI PHARMACEUTICALS LTD,Ingredients,3B-15
"Jiangxi Fangzun Pharmaceutical & Chemical Co., ltd",Ingredients,3B-27
"Jiangxi Guohua Pharmaceutical Technology Co., Ltd.",Ingredients,2K-27
"Jiangxi Synergy Pharmaceutical Co., Ltd.",Ingredients,2A-07
"Jiaozuo Zhongwei Special Products Pharmaceutical Co., Ltd.",Ingredients,3A-33
"Jinan Hong Sendi New Materials Co.,Ltd",Ingredients,3B-18
"JINAN MINGXIN PHARMACEUTICAL CO., LTD.",Ingredients,3B-31
"Jinan Shangbo Pharmaceutical Co., Ltd.",Ingredients,3B-19
"Jinan Wanxingda Chemical Co., Ltd.",Ingredients,3B-16
"Jinzhou Weiyuan Sanyi Technology Co., LTD.",Ingredients,1F-50
JUBILANT INGREVIA,Outsourcing,1E-26
JUZEN CHEMICAL CORPORATION,Ingredients,2H-27
"K. SAKAI & CO., LTD.",Ingredients,1J-07
KANEKA CORPORATION,Outsourcing,1D-27
"KATAYAMA SEIYAKUSYO CO., LTD.",Ingredients,2H-33
"Katsura Sangyo Co., Ltd.",Bio Pharma,3G-08
"KAWAGUCHI CHEMICAL INDUSTRY CO., LTD.",Ingredients,1J-03
"Keisho Pharmaceutical Co., Ltd.",Ingredients,3E-44
"Keylab (Jiangsu) Technology Co.,Ltd.",Ingredients,2K-35
"Kingchem (Liaoning) Life Science Co., Ltd",Ingredients,2B-06
"KNC Laboratories Co., Ltd.",Outsourcing,1F-03
"Koa Shoji Co., Ltd.",Ingredients,1F-04
"KOBE FINECHEMICAL CO.,LTD.",Ingredients,2A-02
"Kolon Life Science, Inc.",Ingredients,2B-22
Komatsu Airport Association,Bio Pharma,3E-07
"KONGO CHEMICAL CO., LTD.",Ingredients,2G-33
